# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-01-22 02:32:46 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 6
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/Projects/Julia/notebooks/Stan/Pathfinder/tmp/bernoulli_data_1.json
# init = 2 (Default)
# random
#   seed = 55176064
# output
#   file = /Users/rob/Projects/Julia/notebooks/Stan/Pathfinder/tmp/bernoulli_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/Projects/Julia/notebooks/Stan/Pathfinder/tmp/bernoulli_profile_1.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.445673, -7.65585, 0.30809
-0.808969, -7.99374, 0.226629
-0.440073, -7.65062, 0.355029
-0.597524, -7.81346, 0.416573
-0.730291, -7.92257, 0.237029
-0.432529, -7.64269, 0.346346
-0.471252, -7.68035, 0.294651
-0.742535, -7.96915, 0.448653
-1.34924, -8.62147, 0.534359
-0.450005, -7.66142, 0.363081
-0.84926, -8.02973, 0.221847
-0.440859, -7.65066, 0.355061
-7.13708, -12.3627, 0.0504298
-0.47219, -7.68094, 0.294389
-1.34518, -8.45723, 0.179167
-0.655653, -7.85415, 0.248604
-1.02181, -8.18181, 0.204208
-0.435189, -7.64625, 0.316187
-2.2958, -9.21579, 0.132788
-0.509358, -7.72612, 0.391831
-0.444446, -7.65927, 0.305789
-2.36473, -9.72891, 0.625151
-0.651564, -7.85043, 0.249292
-0.493526, -7.70603, 0.384586
-0.643007, -7.84252, 0.250775
-0.529412, -7.74003, 0.274035
-0.597412, -7.80016, 0.259343
-1.32005, -8.43572, 0.180893
-0.467965, -7.67717, 0.296106
-0.79806, -7.98384, 0.227994
-0.537443, -7.74343, 0.273093
-0.578, -7.78266, 0.263249
-0.934617, -8.10539, 0.212615
-1.10217, -8.35324, 0.504376
-1.53718, -8.61598, 0.167338
-1.20516, -8.3367, 0.189287
-2.13532, -9.08157, 0.139455
-1.38976, -8.49498, 0.176214
