# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pf_model
# start_datetime = 2024-01-29 23:52:33 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = 1
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 2000
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_data_1.json
# init = 2 (Default)
# random
#   seed = 10642823
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_profile_1.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.460218, -7.67039, 0.368431
-1.75591, -8.78268, 0.156356
-0.596239, -7.79876, 0.259645
-0.70272, -7.92439, 0.44037
-0.437538, -7.65561, 0.359057
-0.604936, -7.82099, 0.418387
-0.516876, -7.76881, 0.404939
-1.04574, -8.28858, 0.496311
-0.579554, -7.82965, 0.420427
-4.31624, -10.6259, 0.0835847
-0.483172, -7.69399, 0.379732
-1.34868, -8.41907, 0.182252
-2.08463, -9.40354, 0.602232
-0.793916, -7.98196, 0.228258
-0.586529, -7.78968, 0.261653
-1.18627, -8.44259, 0.51493
-0.437497, -7.65126, 0.355581
-0.789026, -7.97653, 0.229019
-0.95646, -8.12463, 0.21042
-0.466936, -7.68113, 0.373948
-2.5447, -9.38316, 0.125125
-0.437987, -7.64773, 0.352317
-2.26975, -9.61522, 0.61741
-0.680876, -7.87895, 0.244192
-0.721326, -7.91566, 0.238118
-1.72319, -9.02306, 0.571961
-0.963724, -8.13101, 0.209704
-0.80661, -7.99223, 0.226835
-1.20456, -8.46458, 0.517433
-1.10918, -8.35783, 0.504934
-3.00495, -10.408, 0.666512
-0.558752, -7.77254, 0.405978
-0.75465, -7.98124, 0.450794
-0.688555, -7.93606, 0.442587
-3.12885, -9.80346, 0.108477
-0.460244, -7.67845, 0.372644
-0.499241, -7.70699, 0.284254
-2.37949, -9.7199, 0.624548
-1.14663, -8.28638, 0.193868
-0.450906, -7.66087, 0.362723
-1.72269, -8.69908, 0.161701
-0.546881, -7.7668, 0.404376
-0.76159, -7.98706, 0.451813
-1.6688, -8.96413, 0.56686
-2.53795, -9.39862, 0.12445
-0.454864, -7.66491, 0.365267
-1.19455, -8.3306, 0.18983
-0.744011, -7.94202, 0.234045
-0.845254, -8.02608, 0.222318
-0.802717, -8.03324, 0.459613
-1.64744, -8.88885, 0.560157
