# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pf_model
# start_datetime = 2024-01-29 23:52:33 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = 1
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 2000
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_data_1.json
# init = 2 (Default)
# random
#   seed = 10642823
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_profile_1.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.64939, -7.86788, 0.428949
-0.513951, -7.72106, 0.279634
-1.17128, -8.31075, 0.19162
-0.621521, -7.82234, 0.254717
-2.69184, -10.0864, 0.647878
-0.428757, -7.63841, 0.330356
-4.32695, -10.6512, 0.0829401
-0.913732, -8.08696, 0.214773
-1.28787, -8.40965, 0.183029
-2.09429, -9.0608, 0.140533
-0.4963, -7.70417, 0.28524
-1.52215, -8.8104, 0.552929
-0.515031, -7.72696, 0.392117
-0.991028, -8.23337, 0.489095
-1.52713, -8.81583, 0.553437
-0.512433, -7.72427, 0.391199
-0.572808, -7.78725, 0.409947
-0.430043, -7.63969, 0.325859
-2.70239, -10.0979, 0.648569
-0.547848, -7.76114, 0.402758
-0.595264, -7.81082, 0.415928
-0.668176, -7.86551, 0.246548
-0.634316, -7.85196, 0.42549
-1.1966, -8.33235, 0.189674
-3.04764, -10.472, 0.670046
-0.652005, -7.85059, 0.249262
-0.442078, -7.65158, 0.311311
-0.434858, -7.64456, 0.34883
-0.7367, -7.92823, 0.236149
-0.45213, -7.66212, 0.363531
-0.637561, -7.83723, 0.251787
-0.689536, -7.88515, 0.24313
-1.28399, -8.40639, 0.1833
-0.710901, -7.93309, 0.442026
-0.489003, -7.69715, 0.287791
-1.16319, -8.41968, 0.512284
-1.37221, -8.64693, 0.536967
-0.438365, -7.64811, 0.352697
-2.54319, -9.92479, 0.637888
