# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pf_model
# start_datetime = 2024-01-28 16:03:48 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 3
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_data_3.json
# init = 2 (Default)
# random
#   seed = 1995513073
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_profile_3.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-2.14859, -9.5307, 0.611475
-1.23176, -8.36928, 0.186439
-0.45762, -7.65432, 0.358072
-1.7156, -8.77902, 0.156583
-0.658565, -7.86945, 0.429283
-0.464732, -7.70307, 0.383433
-0.83106, -8.01345, 0.223975
-0.470394, -7.68116, 0.373963
-0.407134, -7.64707, 0.351642
-0.748873, -7.97363, 0.449452
-0.480305, -7.68907, 0.290941
-0.759315, -7.95453, 0.232186
-0.984112, -8.22363, 0.487789
-2.62357, -9.45061, 0.12222
-0.489145, -7.70529, 0.284844
-0.421827, -7.63929, 0.326905
-0.442031, -7.65964, 0.305557
-0.634007, -7.87048, 0.429502
-0.739236, -7.92574, 0.236536
-0.563821, -7.77811, 0.407504
-1.24537, -8.35501, 0.187675
-0.437144, -7.64706, 0.315363
-1.10586, -8.25451, 0.196894
-0.557409, -7.76022, 0.402491
-0.544004, -7.76072, 0.402637
-0.44732, -7.64355, 0.319326
-0.734822, -7.95256, 0.44565
-0.407547, -7.64677, 0.315648
-0.444435, -7.65462, 0.358304
-0.526447, -7.7271, 0.392162
-1.84227, -8.86239, 0.151534
-0.42753, -7.64519, 0.31734
-2.40061, -9.73504, 0.625562
-0.435261, -7.67433, 0.370546
-0.401436, -7.64119, 0.322808
-0.779294, -7.96307, 0.230942
-2.99591, -9.71981, 0.111533
-0.501339, -7.73144, 0.276493
-1.62028, -8.87515, 0.558913
