# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pm_model
# start_datetime = 2024-01-30 16:42:18 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 4000
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 4000
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_data_1.json
# init = 2 (Default)
# random
#   seed = 1995513073
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_profile_1.log
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-1.20762, -8.45688, 0.516561
-0.597447, -7.80008, 0.259359
-0.513093, -7.7419, 0.273513
-1.11826, -8.36033, 0.505238
-0.52903, -7.75604, 0.269735
-0.520308, -7.7327, 0.394028
-0.405634, -7.64561, 0.35007
-0.523258, -7.73963, 0.396261
-2.62902, -9.45461, 0.12205
-1.16739, -8.3065, 0.192008
-0.639617, -7.85774, 0.42676
-0.654525, -7.87459, 0.43037
-3.12325, -9.81014, 0.108238
-0.96682, -8.12917, 0.209911
-0.591363, -7.80916, 0.415519
-0.530274, -7.73826, 0.274531
-0.628039, -7.84284, 0.250716
-1.43672, -8.68651, 0.540953
-1.60285, -8.67006, 0.16363
-0.42912, -7.63908, 0.339156
-0.697187, -7.91867, 0.439266
-0.489899, -7.72773, 0.392375
-0.435144, -7.64504, 0.317511
-0.765357, -7.96067, 0.231289
-0.491494, -7.6998, 0.286808
-0.661465, -7.88144, 0.431803
-0.432142, -7.64393, 0.318842
-0.650782, -7.88723, 0.432998
-0.698057, -7.93455, 0.442302
-0.663207, -7.86759, 0.246179
-0.705075, -7.92668, 0.440808
-1.04276, -8.20303, 0.20201
-1.42365, -8.68754, 0.541055
-1.20728, -8.46622, 0.517617
-0.519245, -7.72782, 0.277567
-0.431244, -7.67043, 0.368451
-0.512653, -7.72006, 0.279947
-0.451604, -7.66119, 0.304584
-0.447416, -7.65887, 0.306048
-1.3572, -8.6303, 0.535267
-1.81866, -9.12995, 0.580907
-0.449871, -7.68856, 0.377377
-1.46268, -8.74518, 0.546714
-0.998633, -8.23495, 0.489306
-1.76793, -9.07477, 0.576335
-1.38132, -8.48628, 0.176886
-0.487942, -7.72581, 0.391725
-0.753262, -7.99, 0.452325
-0.496523, -7.72714, 0.277769
-0.695578, -7.91681, 0.438906
-0.596286, -7.81211, 0.416243
-0.787981, -7.97984, 0.228554
-0.460532, -7.67657, 0.371698
-0.424009, -7.64089, 0.343415
-1.28771, -8.4101, 0.182992
-0.405755, -7.64514, 0.317405
-0.436909, -7.64694, 0.351511
-0.442031, -7.65964, 0.305557
-0.873134, -8.05115, 0.219128
-0.440686, -7.67695, 0.29621
-0.492707, -7.72374, 0.278805
-1.63169, -8.65684, 0.164523
-0.44313, -7.68199, 0.374358
-6.41051, -13.9619, 0.80545
-0.437815, -7.65547, 0.308355
-0.751828, -7.94781, 0.233179
-0.913517, -8.09104, 0.21429
-0.445711, -7.65587, 0.35925
-0.429648, -7.63961, 0.340665
-0.689068, -7.89554, 0.241384
-0.443753, -7.66133, 0.304499
-0.733393, -7.97002, 0.448809
-0.905606, -8.14146, 0.476291
-0.400337, -7.6402, 0.32471
-1.16429, -8.30387, 0.192249
-1.00717, -8.16236, 0.206272
-0.446734, -7.6855, 0.375998
-1.8237, -8.84769, 0.152404
-0.515754, -7.73203, 0.393806
-0.433625, -7.64539, 0.317124
-0.990628, -8.1581, 0.20673
-0.426954, -7.63881, 0.338203
-0.472211, -7.68476, 0.375658
-1.10434, -8.25322, 0.197019
-1.01182, -8.16618, 0.205862
-1.16617, -8.41275, 0.511476
-0.691384, -7.88698, 0.24282
-1.89135, -9.18889, 0.585682
-0.416246, -7.65588, 0.359256
-0.567994, -7.78244, 0.408671
-0.692263, -7.88778, 0.242683
-1.14118, -8.28701, 0.193809
-0.587957, -7.79832, 0.259741
-0.453812, -7.66413, 0.364792
