# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pm_model
# start_datetime = 2024-01-29 23:54:17 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = 1
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 2000
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_data_1.json
# init = 2 (Default)
# random
#   seed = 12902867
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_profile_1.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.949742, -8.1184, 0.211124
-1.83288, -8.84768, 0.152405
-0.435798, -7.65047, 0.312229
-0.442339, -7.65682, 0.307419
-2.3306, -9.67726, 0.621668
-0.907912, -8.08188, 0.215376
-1.46971, -8.74711, 0.546901
-0.433726, -7.64869, 0.353257
-0.431767, -7.64654, 0.315884
-0.424967, -7.63989, 0.325379
-2.22198, -9.1487, 0.136058
-0.659434, -7.88156, 0.431827
-1.47896, -8.56396, 0.17105
-1.09362, -8.34249, 0.503062
-0.436993, -7.65197, 0.356186
-0.426468, -7.64136, 0.322516
-3.45607, -10.0422, 0.100355
-0.941596, -8.18001, 0.481794
-0.429352, -7.64419, 0.318522
-0.473261, -7.68655, 0.291978
-0.512509, -7.72892, 0.392775
-0.527277, -7.73771, 0.274687
-1.15891, -8.29795, 0.192793
-0.470548, -7.68596, 0.376211
-0.623244, -7.84371, 0.423651
-1.84979, -8.86099, 0.151616
-0.892787, -8.12805, 0.474328
-0.501606, -7.7135, 0.282059
-1.30592, -8.42135, 0.182065
-0.606955, -7.81185, 0.256863
-0.598113, -7.80369, 0.258584
-0.76622, -7.99389, 0.452998
-0.434074, -7.64879, 0.313704
-0.827575, -8.05881, 0.463739
-0.423213, -7.63817, 0.33332
-1.09556, -8.34457, 0.503317
-0.423723, -7.63868, 0.337685
-0.609884, -7.82978, 0.420458
-0.474242, -7.68749, 0.291589
