# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pm_model
# start_datetime = 2024-01-30 16:42:18 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 4000
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 4000
#     num_elbo_draws = 25 (Default)
# id = 3
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_data_3.json
# init = 2 (Default)
# random
#   seed = 1995513073
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_profile_3.log
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-2.92747, -9.72505, 0.111338
-7.5942, -12.7237, 0.0456138
-0.558177, -7.76104, 0.402729
-3.70021, -10.2821, 0.092983
-0.589311, -7.78345, 0.263069
-0.445349, -7.68117, 0.294288
-0.567549, -7.78201, 0.408555
-0.437176, -7.64725, 0.351836
-0.781671, -7.9745, 0.229306
-0.600816, -7.8169, 0.417405
-0.966308, -8.20668, 0.485486
-1.42249, -8.68629, 0.540931
-0.740539, -7.93957, 0.234415
-0.66877, -7.87267, 0.245283
-3.13715, -9.81995, 0.107888
-0.819945, -8.00861, 0.224619
-0.484457, -7.7008, 0.286445
-0.896469, -8.07087, 0.216702
-1.48402, -8.78502, 0.550534
-1.10586, -8.25451, 0.196894
-1.68249, -8.93913, 0.564659
-0.437659, -7.64774, 0.352331
-0.621557, -7.82257, 0.254671
-0.511052, -7.7107, 0.386354
-0.456833, -7.67413, 0.297557
-0.4818, -7.67821, 0.295626
-1.33699, -8.62039, 0.534247
-0.604054, -7.82197, 0.254792
-4.09855, -10.4981, 0.0869301
-0.607315, -7.81394, 0.416688
-0.927931, -8.16536, 0.479727
-0.448308, -7.66446, 0.364994
-0.462677, -7.6798, 0.294899
-1.84435, -9.10569, 0.578909
-0.808048, -8.04522, 0.461562
-1.76884, -8.82282, 0.153896
-5.46743, -11.3448, 0.0674371
-0.498092, -7.73578, 0.395027
-0.535294, -7.76159, 0.268323
